iteration,collectionName,requestName,method,url,status,code,responseTime,responseSize,executed,failed,skipped,totalAssertions,executedCount,failedCount,skippedCount
"1","Brevo 2","Create a company","POST","https://api.brevo.com/v3/companies","OK","200","1182","34","Status code is 200, verify ValueofId",,,"2","2","0","0"
"1","Brevo 2","without owner ID","POST","https://api.brevo.com/v3/companies","OK","200","438","34","Response status code is 200, Content-Type header is application/json, Response body has the required fields","verify message is Invalid parameter",,"4","3","1","0"
"1","Brevo 2","Without company name","POST","https://api.brevo.com/v3/companies","Bad Request","400","407","73","validate messsage is 'Validate data: validate company name: name can not be empty' , Response has content type of application/json",,,"2","2","0","0"
"1","Brevo 2","Duplicate company creation","POST","https://api.brevo.com/v3/companies","OK","200","507","34",,"message to be:'company already exist' ",,"1","0","1","0"
"1","Brevo 2","Without Domain","POST","https://api.brevo.com/v3/companies","OK","200","418","34",,"message to be: Domain 'Missing parameter'",,"1","0","1","0"
"1","Brevo 2","Create a deal","POST","https://api.brevo.com/v3/crm/deals","OK","200","521","34","Status code is 200, verify that response contains an id",,,"2","2","0","0"
"1","Brevo 2","without deal owner","POST","https://api.brevo.com/v3/crm/deals","OK","200","568","34","Status code is 200, verify that id is not empty and null",,,"2","2","0","0"
"1","Brevo 2","Without deal name","POST","https://api.brevo.com/v3/crm/deals","Bad Request","400","475","57","verify that message is: 'Not valid data. : Deal name cannot be empty' ",,,"1","1","0","0"
"1","Brevo 2","Invalid amount","POST","https://api.brevo.com/v3/crm/deals","OK","200","581","34",,"verify that message is: Deal owner can not be empty",,"1","0","1","0"
"1","Brevo 2","Get all deals","GET","https://api.brevo.com/v3/crm/deals?filter[attributes]=662f84198089f8129a3b925d","OK","200","688","18047","Value of the item is an array",,,"1","1","0","0"
"1","Brevo 2","Link and Unlink a deal with contacts and companies","PATCH","https://api.brevo.com/v3/crm/deals/link-unlink/:id","Unauthorized","401","278","72",,,,"0","0","0","0"
"1","Brevo 2","Get deal attributes","GET","https://api.brevo.com/v3/crm/attributes/deals","OK","200","537","4629","verify the responseData contains the required field",,,"1","1","0","0"
"1","Brevo 2","Get a deal","GET","https://api.brevo.com/v3/crm/deals/{{deal_id}}","Bad Request","400","324","94",,"Status code is 200, Check if the response contains the required properties",,"2","0","2","0"
"1","Brevo 2","Update a deal","PATCH","https://api.brevo.com/v3/crm/deals/{{deal_id}}","Bad Request","400","297","46",,,,"0","0","0","0"
"1","Brevo 2","Delete a deal","DELETE","https://api.brevo.com/v3/crm/deals/663ccc62c10f27647d4a44e1","Not Found","404","350","32",,,,"0","0","0","0"
"1","Brevo 2","Get a company","GET","https://api.brevo.com/v3/companies/663bec9dc10f27647d4a41d4","OK","200","380","403","verify the value of id, verify that owner exist and is not null",,,"2","2","0","0"
"1","Brevo 2","Get all Companies","GET","https://api.brevo.com/v3/companies?attributes=662f84198089f8129a3b925d&page=1","OK","200","500","19603","Response status code is 200, verify that item is not null and empty , verify that the value of items is an array","Pager object contains the expected keys and values",,"4","3","1","0"
"1","Brevo 2","Get company attributes","GET","https://api.brevo.com/v3/companies/attributes","OK","200","558","1719","Response status code is 200, Check if the response has the required fields",,,"2","2","0","0"
"1","Brevo 2","Update a company","PATCH","https://api.brevo.com/v3/companies/663624905f7cbc47c7da718d","Bad Request","400","327","49",,,,"0","0","0","0"
"1","Brevo 2","Delete a company","DELETE","https://api.brevo.com/v3/companies/66362465d0981165e8285bd3","Not Found","404","646","37",,,,"0","0","0","0"
"1","Brevo 2","Get pipeline stages","GET","https://api.brevo.com/v3/crm/pipeline/details","Unauthorized","401","299","72",,,,"0","0","0","0"
"1","Brevo 2","Create a task","POST","https://api.brevo.com/v3/crm/tasks","Created","201","836","63","Successful POST request, Status code is 201",,,"2","2","0","0"
"1","Brevo 2","missing task id","POST","https://api.brevo.com/v3/crm/tasks","Bad Request","400","489","158","verify that the missing TaskTypeId returns an error message",,,"1","1","0","0"
"1","Brevo 2","missing assignedTo","POST","https://api.brevo.com/v3/crm/tasks","Bad Request","400","639","78","Verify the error message for missing AssignToId",,,"1","1","0","0"
"1","Brevo 2","Invalid AssignedTo","POST","https://api.brevo.com/v3/crm/tasks","Not Found","404","536","42","Verify the error message for missing AssignToId",,,"1","1","0","0"
"1","Brevo 2","Missing date","POST","https://api.brevo.com/v3/crm/tasks","Bad Request","400","513","100","verify that the missing Date returns an error message, verify that data is an array",,,"2","2","0","0"
"1","Brevo 2","missing name","POST","https://api.brevo.com/v3/crm/tasks","Bad Request","400","814","163","verify that the missing name returns an error message",,,"1","1","0","0"
"1","Brevo 2","Get all tasks","GET","https://api.brevo.com/v3/crm/tasks?filter[companies]=66362465d0981165e8285bd3","OK","200","700","4429","Verify the response structure",,,"1","1","0","0"
"1","Brevo 2","Invalid contact parameter","GET","https://api.brevo.com/v3/crm/tasks?filter[contacts]=22345567611","OK","200","477","211","Verify response when providing invalid number in filter contacts parameter",,,"1","1","0","0"
"1","Brevo 2","Invalid task Type","GET","https://api.brevo.com/v3/crm/tasks?filter[type]=1e32r2t&filter[companies]=66362465d0981165e8285bd3","Bad Request","400","412","51","Verify the error message for missing task type id",,,"1","1","0","0"
"1","Brevo 2","Get all task types","GET","https://api.brevo.com/v3/crm/tasktypes","OK","200","425","485",,,,"0","0","0","0"
"1","Brevo 2","Get a task","GET","https://api.brevo.com/v3/crm/tasks/6637624a2940ab632c3c6aa8","OK","200","573","412","Status code is 200, Verify task object properties",,,"2","2","0","0"
"1","Brevo 2","Update a task","PATCH","https://api.brevo.com/v3/crm/tasks/663d349812cbf751a97fbcc4","No Content","204","956","0","Status code is 204",,,"1","1","0","0"
"1","Brevo 2","Delete a task","DELETE","https://api.brevo.com/v3/crm/tasks/663d34243b37192515020824","Not Found","404","423","39",,,,"0","0","0","0"
"1","Brevo 2","Create a note","POST","https://api.brevo.com/v3/crm/notes","Created","201","495","744","Status code is 201, verify that authorId exist and is not empty, Verify authorId matches valueOfId",,,"3","3","0","0"
"1","Brevo 2","Get all notes","GET","https://api.brevo.com/v3/crm/notes?entityIds=663772741ea1d72349007699","OK","200","345","10019","Status code is 200, Verify entityIds matches valueOfId",,,"2","2","0","0"
"1","Brevo 2","Get a note","GET","https://api.brevo.com/v3/crm/notes/663772741ea1d72349007699","OK","200","452","588","Status code is 200",,,"1","1","0","0"
"1","Brevo 2","Update a note","PATCH","https://api.brevo.com/v3/crm/notes/663772741ea1d72349007699","OK","200","393","488","Status code is 200",,,"1","1","0","0"
"1","Brevo 2","Delete a note","DELETE","https://api.brevo.com/v3/crm/notes/6636233ad0981165e8285bd1","Bad Request","400","429","32","Status code is 400",,,"1","1","0","0"
"1","Brevo 2","Get your account information, plan and credits details","GET","https://api.brevo.com/v3/account","OK","200","390","1114","Verify organization data",,,"1","1","0","0"
"1","Brevo 2","Create a new sender","POST","https://api.brevo.com/v3/senders","Created","201","792","44","Status code is 201, Verify that the response has the required properties",,,"2","2","0","0"
"1","Brevo 2","Get all the dedicated IPs for a sender","GET","https://api.brevo.com/v3/senders/5/ips","OK","200","373","10",,"Verify that the 'ips' array is not empty",,"1","0","1","0"
"1","Brevo 2","Get the list of all your senders","GET","https://api.brevo.com/v3/senders?domain={{randomDomain}}","Bad Request","400","354","65",,"Verify that the 'senders' array is not empty",,"1","0","1","0"
"1","Brevo 2","Duplicate request","PUT","https://api.brevo.com/v3/senders/22","Not Found","404","428","63","Verify the error code and message",,,"1","1","0","0"
"1","Brevo 2","Update a sender","PUT","https://api.brevo.com/v3/senders/12","No Content","204","602","0","Status code is 204",,,"1","1","0","0"
"1","Brevo 2","Delete a sender","DELETE","https://api.brevo.com/v3/senders/7","Not Found","404","338","66",,,,"0","0","0","0"
"1","Brevo 2","Create a new domain","POST","https://api.brevo.com/v3/senders/domains?name=https://testifyltd.com/","OK","200","2886","744",,,,"0","0","0","0"
"1","Brevo 2","Get the list of all your domains","GET","https://api.brevo.com/v3/senders/domains","OK","200","478","773","Verify that Domains  is an array is not empty",,,"1","1","0","0"
"1","Brevo 2","Validate domain configuration","GET","https://api.brevo.com/v3/senders/domains/myfirstcompany.com","Not Found","404","379","63",,"Status code is 200",,"1","0","1","0"
"1","Brevo 2","Authenticate a domain","PUT","https://api.brevo.com/v3/senders/domains/myluxdomain.com/authenticate","Bad Request","400","505","166",,,,"0","0","0","0"
"1","Brevo 2","Delete a domain","DELETE","https://api.brevo.com/v3/senders/domains/siteprestige.com","OK","200","393","4","Status code is 200",,,"1","1","0","0"
"1","Brevo 2","Creates an SMS campaign Copy","POST","https://api.brevo.com/v3/smsCampaigns","Payment Required","402","321","118",,,,"0","0","0","0"
"1","Brevo 2","missing list","POST","https://api.brevo.com/v3/smsCampaigns","Bad Request","400","289","86",,,,"0","0","0","0"
"1","Brevo 2","missing content","POST","https://api.brevo.com/v3/smsCampaigns","Bad Request","400","300","59",,,,"0","0","0","0"
"1","Brevo 2","Missing sender","POST","https://api.brevo.com/v3/smsCampaigns","Bad Request","400","288","63",,,,"0","0","0","0"
"1","Brevo 2","Returns the information for all your created SMS campaigns Copy","GET","https://api.brevo.com/v3/smsCampaigns?status=queued&startDate=&endDate=&limit=500&offset=0&sort=desc","OK","200","345","1507","verify that count is not null , verify that campaigns is not null , Verify that ValueCount is equal to the length of campaigns, verify that scheduledAt is a string",,,"4","4","0","0"
"1","Brevo 2","Status","GET","https://api.brevo.com/v3/smsCampaigns?status=suspended","OK","200","348","526","verify campaigns is an array, verify campaigns contains an object, validate status is either 'suspended' or 'queued' ",,,"3","3","0","0"
"1","Brevo 2","Send an SMS campaign's report","POST","https://api.brevo.com/v3/smsCampaigns/3/sendReport","OK","200","340","2","Status code is 200",,,"1","1","0","0"
"1","Brevo 2","Invalid Language","POST","https://api.brevo.com/v3/smsCampaigns/3/sendReport","Bad Request","400","282","62","Verify invalid parameter error message",,,"1","1","0","0"
"1","Brevo 2","Missing language","POST","https://api.brevo.com/v3/smsCampaigns/3/sendReport","Bad Request","400","293","60","Verify invalid parameter error message",,,"1","1","0","0"
"1","Brevo 2","Missing Email","POST","https://api.brevo.com/v3/smsCampaigns/3/sendReport","Bad Request","400","287","62","Verify invalid parameter error message",,,"1","1","0","0"
"1","Brevo 2","Invalid email address","POST","https://api.brevo.com/v3/smsCampaigns/3/sendReport","Bad Request","400","322","79","Verify invalid parameter error message",,,"1","1","0","0"
"1","Brevo 2","Update an SMS campaign","PUT","https://api.brevo.com/v3/smsCampaigns/3","No Content","204","424","0","Response status code is 204",,,"1","1","0","0"
"1","Brevo 2","Invalid parameter","PUT","https://api.brevo.com/v3/smsCampaigns/:campaignId","Bad Request","400","268","60","Verify campaigns parameter message is invalid",,,"1","1","0","0"
"1","Brevo 2","Get an SMS campaign","GET","https://api.brevo.com/v3/smsCampaigns/3","OK","200","335","521","verify status is 200 Ok, verify that status is either suspended or queued",,,"2","2","0","0"
"1","Brevo 2","Delete scheduled campaign","DELETE","https://api.brevo.com/v3/smsCampaigns/1","Forbidden","403","290","83","verify message is 'Campaign once scheduled can not be deleted'",,,"1","1","0","0"
"1","Brevo 2","Create a folder","POST","https://api.brevo.com/v3/contacts/folders","Created","201","427","9","Status code is 201",,,"1","1","0","0"
"1","Brevo 2","Missing parameter","POST","https://api.brevo.com/v3/contacts/folders","Bad Request","400","285","63","Verify missing parameter error message",,,"1","1","0","0"
"1","Brevo 2","Get all folders","GET","https://api.brevo.com/v3/contacts/folders?limit=10&offset=0&sort=desc","OK","200","432","1083","Verify response contains folders",,,"1","1","0","0"
"1","Brevo 2","Returns a folder's details","GET","https://api.brevo.com/v3/contacts/folders/4","OK","200","408","104","Verify response has the correct properties",,,"1","1","0","0"
"1","Brevo 2","Get lists in a folder","GET","https://api.brevo.com/v3/contacts/folders/3/lists?limit=10&offset=0&sort=desc","OK","200","356","129","Status code is 200",,,"1","1","0","0"
"1","Brevo 2","Update a folder","PUT","https://api.brevo.com/v3/contacts/folders/3","No Content","204","369","0","Status code is 204",,,"1","1","0","0"
"1","Brevo 2","Delete a folder (and all its lists)","DELETE","https://api.brevo.com/v3/contacts/folders/1","Unauthorized","401","255","72",,,,"0","0","0","0"
